 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- C- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
44.9999 eV    2.758E-02  3.197E-01      10 A         7 A         5 A   
49.9999 eV    2.907E-02  3.324E-01      10 A         7 A         5 A   
54.9999 eV    3.049E-02  3.441E-01      11 A         7 A         5 A   
59.9999 eV    3.184E-02  3.548E-01      11 A         8 A         5 A   
64.9999 eV    3.315E-02  3.648E-01      12 A         8 A         6 A   
69.9999 eV    3.440E-02  3.741E-01      12 A         8 A         6 A   
79.9999 eV    3.677E-02  3.909E-01      13 A         9 A         6 A   
89.9999 eV    3.900E-02  4.059E-01      14 A         9 A         7 A   
99.9999 eV    4.111E-02  4.193E-01      15 A        10 A         7 A   
    110 eV    4.312E-02  4.314E-01      16 A        10 A         8 A   
    120 eV    4.504E-02  4.425E-01      17 A        11 A         8 A   
    130 eV    4.687E-02  4.526E-01      18 A        11 A         8 A   
139.999 eV    4.864E-02  4.619E-01      19 A        12 A         9 A   
149.999 eV    5.035E-02  4.706E-01      20 A        12 A         9 A   
159.999 eV    5.200E-02  4.786E-01      21 A        13 A         9 A   
169.999 eV    5.360E-02  4.860E-01      22 A        13 A        10 A   
179.999 eV    5.516E-02  4.930E-01      22 A        14 A        10 A   
199.999 eV    5.814E-02  5.056E-01      24 A        15 A        11 A   
224.999 eV    6.167E-02  5.195E-01      26 A        16 A        11 A   
249.999 eV    6.500E-02  5.315E-01      28 A        17 A        12 A   
274.999 eV    6.818E-02  5.420E-01      30 A        18 A        13 A   
299.999 eV    7.121E-02  5.513E-01      32 A        19 A        14 A   
324.999 eV    7.412E-02  5.596E-01      34 A        20 A        14 A   
349.999 eV    7.691E-02  5.670E-01      36 A        21 A        15 A   
374.999 eV    7.961E-02  5.736E-01      37 A        22 A        16 A   
399.999 eV    8.222E-02  5.796E-01      39 A        23 A        16 A   
449.999 eV    8.721E-02  5.899E-01      43 A        24 A        18 A   
499.999 eV    9.193E-02  5.983E-01      47 A        26 A        19 A   
549.999 eV    9.642E-02  6.053E-01      50 A        28 A        20 A   
599.999 eV    1.007E-01  6.112E-01      54 A        30 A        22 A   
649.999 eV    1.048E-01  6.160E-01      57 A        31 A        23 A   
699.999 eV    1.088E-01  6.201E-01      60 A        33 A        24 A   
799.999 eV    1.163E-01  6.262E-01      67 A        36 A        26 A   
899.999 eV    1.233E-01  6.302E-01      74 A        39 A        29 A   
999.999 eV    1.300E-01  6.327E-01      81 A        43 A        31 A   
   1.10 keV   1.364E-01  6.340E-01      88 A        46 A        33 A   
   1.20 keV   1.424E-01  6.344E-01      94 A        49 A        35 A   
   1.30 keV   1.482E-01  6.341E-01     101 A        52 A        37 A   
   1.40 keV   1.538E-01  6.332E-01     108 A        55 A        40 A   
   1.50 keV   1.592E-01  6.318E-01     114 A        58 A        42 A   
   1.60 keV   1.645E-01  6.300E-01     121 A        61 A        44 A   
   1.70 keV   1.695E-01  6.279E-01     128 A        64 A        46 A   
   1.80 keV   1.744E-01  6.256E-01     135 A        67 A        48 A   
   2.00 keV   1.839E-01  6.203E-01     148 A        72 A        52 A   
   2.25 keV   1.950E-01  6.130E-01     165 A        79 A        57 A   
   2.50 keV   2.056E-01  6.051E-01     182 A        87 A        62 A   
   2.75 keV   2.156E-01  5.970E-01     199 A        93 A        67 A   
   3.00 keV   2.252E-01  5.888E-01     216 A       100 A        72 A   
   3.25 keV   2.344E-01  5.806E-01     234 A       107 A        77 A   
   3.50 keV   2.432E-01  5.724E-01     251 A       114 A        81 A   
   3.75 keV   2.518E-01  5.643E-01     268 A       121 A        86 A   
   4.00 keV   2.600E-01  5.564E-01     286 A       127 A        91 A   
   4.50 keV   2.758E-01  5.411E-01     321 A       140 A       101 A   
   5.00 keV   2.907E-01  5.265E-01     357 A       153 A       110 A   
   5.50 keV   3.049E-01  5.127E-01     393 A       166 A       120 A   
   6.00 keV   3.185E-01  4.995E-01     429 A       178 A       129 A   
   6.50 keV   3.315E-01  4.871E-01     465 A       191 A       139 A   
   7.00 keV   3.440E-01  4.754E-01     501 A       203 A       148 A   
   8.00 keV   3.677E-01  4.537E-01     575 A       226 A       167 A   
   9.00 keV   3.900E-01  4.342E-01     649 A       249 A       185 A   
  10.00 keV   4.111E-01  4.165E-01     724 A       271 A       204 A   
  11.00 keV   4.312E-01  4.005E-01     798 A       293 A       222 A   
  12.00 keV   4.504E-01  3.858E-01     873 A       313 A       240 A   
  13.00 keV   4.688E-01  3.724E-01     948 A       333 A       258 A   
  14.00 keV   4.865E-01  3.600E-01    1023 A       353 A       275 A   
  15.00 keV   5.036E-01  3.485E-01    1098 A       372 A       293 A   
  16.00 keV   5.201E-01  3.379E-01    1173 A       390 A       310 A   
  17.00 keV   5.361E-01  3.280E-01    1248 A       408 A       327 A   
  18.00 keV   5.516E-01  3.188E-01    1322 A       425 A       343 A   
  20.00 keV   5.595E-01  3.021E-01    1472 A       459 A       376 A   
  22.50 keV   5.760E-01  2.839E-01    1663 A       500 A       416 A   
  25.00 keV   5.973E-01  2.681E-01    1855 A       540 A       455 A   
  27.50 keV   6.215E-01  2.542E-01    2047 A       577 A       493 A   
  30.00 keV   6.475E-01  2.419E-01    2237 A       613 A       531 A   
  32.50 keV   6.744E-01  2.309E-01    2425 A       647 A       567 A   
  35.00 keV   7.018E-01  2.210E-01    2611 A       679 A       603 A   
  37.50 keV   7.293E-01  2.121E-01    2794 A       709 A       637 A   
  40.00 keV   7.567E-01  2.039E-01    2975 A       737 A       670 A   
  45.00 keV   8.104E-01  1.896E-01    3326 A       789 A       733 A   
  50.00 keV   8.622E-01  1.774E-01    3667 A       837 A       792 A   
  55.00 keV   9.116E-01  1.669E-01    3998 A       879 A       846 A   
  60.00 keV   9.586E-01  1.578E-01    4319 A       918 A       898 A   
  65.00 keV   1.003E+00  1.497E-01    4631 A       953 A       946 A   
  70.00 keV   1.045E+00  1.425E-01    4935 A       986 A       991 A   
  80.00 keV   1.122E+00  1.302E-01    5521 A      1045 A      1074 A   
  90.00 keV   1.191E+00  1.201E-01    6084 A      1097 A      1149 A   
 100.00 keV   1.253E+00  1.116E-01    6626 A      1142 A      1216 A   
 110.00 keV   1.308E+00  1.044E-01    7151 A      1183 A      1279 A   
 120.00 keV   1.360E+00  9.811E-02    7661 A      1220 A      1336 A   
 130.00 keV   1.407E+00  9.265E-02    8158 A      1253 A      1389 A   
 140.00 keV   1.452E+00  8.782E-02    8642 A      1284 A      1439 A   
 150.00 keV   1.495E+00  8.353E-02    9116 A      1312 A      1486 A   
 160.00 keV   1.536E+00  7.968E-02    9580 A      1339 A      1530 A   
 170.00 keV   1.576E+00  7.620E-02    1.00 um     1363 A      1572 A   
 180.00 keV   1.615E+00  7.305E-02    1.05 um     1386 A      1611 A   
 200.00 keV   1.691E+00  6.754E-02    1.13 um     1430 A      1684 A   
 225.00 keV   1.782E+00  6.183E-02    1.24 um     1479 A      1766 A   
 250.00 keV   1.870E+00  5.709E-02    1.34 um     1522 A      1839 A   
 275.00 keV   1.955E+00  5.308E-02    1.43 um     1560 A      1905 A   
 300.00 keV   2.037E+00  4.965E-02    1.53 um     1594 A      1966 A   
 325.00 keV   2.118E+00  4.668E-02    1.61 um     1624 A      2021 A   
 350.00 keV   2.196E+00  4.407E-02    1.70 um     1651 A      2072 A   
 375.00 keV   2.273E+00  4.177E-02    1.78 um     1676 A      2118 A   
 400.00 keV   2.348E+00  3.971E-02    1.86 um     1699 A      2162 A   
 450.00 keV   2.495E+00  3.620E-02    2.02 um     1745 A      2240 A   
 500.00 keV   2.636E+00  3.330E-02    2.16 um     1785 A      2309 A   
 550.00 keV   2.773E+00  3.087E-02    2.30 um     1819 A      2370 A   
 600.00 keV   2.905E+00  2.880E-02    2.44 um     1850 A      2424 A   
 650.00 keV   3.032E+00  2.701E-02    2.56 um     1877 A      2473 A   
 700.00 keV   3.156E+00  2.544E-02    2.69 um     1901 A      2518 A   
 800.00 keV   3.388E+00  2.284E-02    2.92 um     1956 A      2596 A   
 900.00 keV   3.603E+00  2.075E-02    3.13 um     2002 A      2663 A   
   1.00 MeV   3.799E+00  1.904E-02    3.34 um     2042 A      2721 A   
   1.10 MeV   3.978E+00  1.760E-02    3.54 um     2076 A      2772 A   
   1.20 MeV   4.139E+00  1.639E-02    3.72 um     2107 A      2818 A   
   1.30 MeV   4.283E+00  1.534E-02    3.91 um     2135 A      2859 A   
   1.40 MeV   4.410E+00  1.442E-02    4.08 um     2160 A      2896 A   
   1.50 MeV   4.523E+00  1.362E-02    4.25 um     2184 A      2931 A   
   1.60 MeV   4.621E+00  1.291E-02    4.42 um     2206 A      2963 A   
   1.70 MeV   4.706E+00  1.227E-02    4.58 um     2227 A      2992 A   
   1.80 MeV   4.779E+00  1.170E-02    4.74 um     2246 A      3020 A   
   2.00 MeV   4.895E+00  1.071E-02    5.06 um     2305 A      3072 A   
   2.25 MeV   4.991E+00  9.699E-03    5.45 um     2384 A      3130 A   
   2.50 MeV   5.046E+00  8.874E-03    5.83 um     2458 A      3183 A   
   2.75 MeV   5.071E+00  8.186E-03    6.21 um     2529 A      3232 A   
   3.00 MeV   5.074E+00  7.603E-03    6.59 um     2596 A      3277 A   
   3.25 MeV   5.059E+00  7.103E-03    6.97 um     2662 A      3321 A   
   3.50 MeV   5.033E+00  6.668E-03    7.35 um     2726 A      3362 A   
   3.75 MeV   4.996E+00  6.286E-03    7.73 um     2789 A      3402 A   
   4.00 MeV   4.953E+00  5.949E-03    8.11 um     2851 A      3441 A   
   4.50 MeV   4.851E+00  5.377E-03    8.90 um     3076 A      3517 A   
   5.00 MeV   4.735E+00  4.912E-03    9.70 um     3294 A      3590 A   
   5.50 MeV   4.612E+00  4.525E-03   10.52 um     3509 A      3662 A   
   6.00 MeV   4.486E+00  4.197E-03   11.37 um     3721 A      3733 A   
   6.50 MeV   4.360E+00  3.916E-03   12.23 um     3933 A      3805 A   
   7.00 MeV   4.237E+00  3.673E-03   13.13 um     4146 A      3877 A   
   8.00 MeV   4.000E+00  3.271E-03   14.99 um     4941 A      4024 A   
   9.00 MeV   3.781E+00  2.952E-03   16.97 um     5701 A      4176 A   
  10.00 MeV   3.581E+00  2.693E-03   19.06 um     6445 A      4336 A   
  11.00 MeV   3.400E+00  2.478E-03   21.26 um     7182 A      4504 A   
  12.00 MeV   3.235E+00  2.296E-03   23.58 um     7919 A      4681 A   
  13.00 MeV   3.085E+00  2.140E-03   26.01 um     8659 A      4867 A   
  14.00 MeV   2.948E+00  2.005E-03   28.56 um     9404 A      5063 A   
  15.00 MeV   2.823E+00  1.887E-03   31.23 um     1.02 um     5269 A   
  16.00 MeV   2.708E+00  1.783E-03   34.01 um     1.09 um     5485 A   
  17.00 MeV   2.602E+00  1.690E-03   36.90 um     1.17 um     5712 A   
  18.00 MeV   2.504E+00  1.607E-03   39.92 um     1.25 um     5949 A   
  20.00 MeV   2.366E+00  1.465E-03   46.23 um     1.54 um     6454 A   
  22.50 MeV   2.187E+00  1.320E-03   54.68 um     1.95 um     7137 A   
  25.00 MeV   2.025E+00  1.202E-03   63.82 um     2.35 um     7882 A   
  27.50 MeV   1.888E+00  1.105E-03   73.65 um     2.74 um     8690 A   
  30.00 MeV   1.769E+00  1.022E-03   84.17 um     3.12 um     9560 A   
  32.50 MeV   1.665E+00  9.521E-04   95.38 um     3.51 um     1.05 um  
  35.00 MeV   1.573E+00  8.913E-04  107.26 um     3.90 um     1.15 um  
  37.50 MeV   1.491E+00  8.381E-04  119.81 um     4.29 um     1.25 um  
  40.00 MeV   1.417E+00  7.912E-04  133.04 um     4.69 um     1.36 um  
  45.00 MeV   1.291E+00  7.122E-04  161.47 um     6.19 um     1.60 um  
  50.00 MeV   1.186E+00  6.482E-04  192.55 um     7.61 um     1.87 um  
  55.00 MeV   1.097E+00  5.951E-04  226.27 um     9.00 um     2.15 um  
  60.00 MeV   1.020E+00  5.505E-04  262.62 um    10.38 um     2.46 um  
  65.00 MeV   9.542E-01  5.123E-04  301.58 um    11.77 um     2.78 um  
  70.00 MeV   8.963E-01  4.793E-04  343.16 um    13.18 um     3.13 um  
  80.00 MeV   7.995E-01  4.251E-04  434.02 um    18.45 um     3.90 um  
  90.00 MeV   7.222E-01  3.823E-04  535.24 um    23.39 um     4.75 um  
 100.00 MeV   6.590E-01  3.476E-04  646.73 um    28.26 um     5.68 um  
 110.00 MeV   6.065E-01  3.190E-04  768.38 um    33.13 um     6.70 um  
 120.00 MeV   5.623E-01  2.948E-04  900.08 um    38.06 um     7.81 um  
 130.00 MeV   5.246E-01  2.742E-04    1.04 mm    43.07 um     8.99 um  
 140.00 MeV   4.921E-01  2.564E-04    1.19 mm    48.16 um    10.26 um  
 150.00 MeV   4.638E-01  2.409E-04    1.35 mm    53.34 um    11.60 um  
 160.00 MeV   4.390E-01  2.272E-04    1.52 mm    58.60 um    13.02 um  
 170.00 MeV   4.170E-01  2.151E-04    1.70 mm    63.96 um    14.52 um  
 180.00 MeV   3.975E-01  2.042E-04    1.89 mm    69.40 um    16.10 um  
 200.00 MeV   3.641E-01  1.856E-04    2.30 mm    90.09 um    19.46 um  
 225.00 MeV   3.305E-01  1.667E-04    2.85 mm   119.64 um    24.08 um  
 250.00 MeV   3.030E-01  1.515E-04    3.46 mm   147.52 um    29.11 um  
 275.00 MeV   2.801E-01  1.389E-04    4.12 mm   174.81 um    34.57 um  
 300.00 MeV   2.607E-01  1.283E-04    4.83 mm   201.96 um    40.43 um  
 325.00 MeV   2.441E-01  1.192E-04    5.59 mm   229.20 um    46.70 um  
 350.00 MeV   2.298E-01  1.114E-04    6.40 mm   256.64 um    53.35 um  
 375.00 MeV   2.172E-01  1.046E-04    7.27 mm   284.36 um    60.38 um  
 400.00 MeV   2.061E-01  9.865E-05    8.17 mm   312.39 um    67.79 um  
 450.00 MeV   1.873E-01  8.857E-05   10.13 mm   418.06 um    83.71 um  
 500.00 MeV   1.721E-01  8.043E-05   12.27 mm   516.94 um   101.04 um  
 550.00 MeV   1.595E-01  7.370E-05   14.59 mm   613.06 um   119.73 um  
 600.00 MeV   1.489E-01  6.805E-05   17.09 mm   708.14 um   139.74 um  
 650.00 MeV   1.398E-01  6.323E-05   19.75 mm   803.02 um   161.02 um  
 700.00 MeV   1.320E-01  5.908E-05   22.58 mm   898.17 um   183.53 um  
 800.00 MeV   1.191E-01  5.226E-05   28.72 mm     1.25 mm   232.12 um  
 900.00 MeV   1.089E-01  4.689E-05   35.48 mm     1.58 mm   285.19 um  
   1.00 GeV   1.007E-01  4.256E-05   42.82 mm     1.89 mm   342.50 um  
   1.10 GeV   9.384E-02  3.898E-05   50.74 mm     2.20 mm   403.79 um  
   1.20 GeV   8.812E-02  3.598E-05   59.19 mm     2.50 mm   468.85 um  
   1.30 GeV   8.324E-02  3.342E-05   68.18 mm     2.81 mm   537.47 um  
   1.40 GeV   7.903E-02  3.121E-05   77.66 mm     3.12 mm   609.47 um  
   1.50 GeV   7.536E-02  2.929E-05   87.62 mm     3.42 mm   684.65 um  
   1.60 GeV   7.214E-02  2.759E-05   98.05 mm     3.73 mm   762.86 um  
   1.70 GeV   6.928E-02  2.609E-05  108.93 mm     4.04 mm   843.93 um  
   1.80 GeV   6.673E-02  2.475E-05  120.24 mm     4.35 mm   927.72 um  
   2.00 GeV   6.238E-02  2.245E-05  144.09 mm     5.51 mm     1.10 mm  
   2.25 GeV   5.800E-02  2.013E-05  176.06 mm     7.13 mm     1.34 mm  
   2.50 GeV   5.448E-02  1.826E-05  210.27 mm     8.63 mm     1.58 mm  
   2.75 GeV   5.160E-02  1.672E-05  246.54 mm    10.04 mm     1.84 mm  
   3.00 GeV   4.920E-02  1.542E-05  284.70 mm    11.41 mm     2.10 mm  
   3.25 GeV   4.717E-02  1.432E-05  324.61 mm    12.74 mm     2.38 mm  
   3.50 GeV   4.544E-02  1.337E-05  366.15 mm    14.03 mm     2.66 mm  
   3.75 GeV   4.394E-02  1.254E-05  409.18 mm    15.31 mm     2.95 mm  
   4.00 GeV   4.263E-02  1.181E-05  453.61 mm    16.55 mm     3.24 mm  
   4.50 GeV   4.047E-02  1.059E-05  546.21 mm    21.12 mm     3.84 mm  
   5.00 GeV   3.876E-02  9.600E-06  643.31 mm    25.21 mm     4.46 mm  
   5.50 GeV   3.739E-02  8.786E-06  744.33 mm    28.99 mm     5.09 mm  
   6.00 GeV   3.626E-02  8.103E-06  848.78 mm    32.55 mm     5.73 mm  
   6.50 GeV   3.533E-02  7.521E-06  956.22 mm    35.94 mm     6.37 mm  
   7.00 GeV   3.455E-02  7.020E-06    1.07 m     39.18 mm     7.01 mm  
   8.00 GeV   3.332E-02  6.199E-06    1.29 m     50.66 mm     8.30 mm  
   9.00 GeV   3.242E-02  5.554E-06    1.53 m     60.54 mm     9.58 mm  
  10.00 GeV   3.174E-02  5.034E-06    1.77 m     69.41 mm    10.85 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3000E+01                 eV / Angstrom 
  1.3000E+02                keV / micron   
  1.3000E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  3.7621E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
